State,Percentage,Date
Veracruz de Ignacio de la Llave,2.92668402,2022/06/01
Veracruz de Ignacio de la Llave,3.06521808,2022/09/01
Veracruz de Ignacio de la Llave,2.35307362,2022/12/01
Veracruz de Ignacio de la Llave,2.41655619,2023/03/01
Veracruz de Ignacio de la Llave,2.13843387,2023/06/01
Veracruz de Ignacio de la Llave,1.98404785,2023/09/01
Yucatán,1.97607827,2020/03/01
Yucatán,3.78187773,2020/06/01
Yucatán,3.56537962,2020/09/01
Yucatán,2.67472159,2020/12/01
Yucatán,2.9783,2021/03/01
Yucatán,2.516,2021/06/01
Yucatán,2.3545,2021/09/01
Yucatán,2.06799109,2021/12/01
Yucatán,2.1965,2022/03/01
Yucatán,1.65477027,2022/06/01
Yucatán,2.0484404,2022/09/01
Yucatán,1.98832972,2022/12/01
Yucatán,1.94652877,2023/03/01
Yucatán,1.57681292,2023/06/01
Yucatán,2.09372688,2023/09/01
Zacatecas,3.32468912,2020/03/01
Zacatecas,4.590218703,2020/06/01
Zacatecas,3.89741366,2020/09/01
Zacatecas,4.16117251,2020/12/01
Zacatecas,3.8961,2021/03/01
Zacatecas,3.5959,2021/06/01
Zacatecas,3.7721,2021/09/01
Zacatecas,2.75360175,2021/12/01
Zacatecas,2.7876,2022/03/01
Zacatecas,3.29804247,2022/06/01
Zacatecas,2.74256441,2022/09/01
Zacatecas,2.35997487,2022/12/01
Zacatecas,3.36928656,2023/03/01
Zacatecas,2.93788917,2023/06/01
Zacatecas,2.35833993,2023/09/01
